fraction SiO2 [%],fraction PS [%],size SiO2 [µm],size PS [µm],bulk nr fract. PS [-],outer nr fract. PS [-],rel. segregation [-],phoretic spread [µm]
99.0,1.0,607.0,611.0,0.009852920817812399,0.011222681630242174,0.0013697608124297756,-0.10844022527172914
99.0,1.0,620.0,303.0,0.07999030953211188,0.09951060358890701,0.01952029405679513,0.3106028361339157
99.0,1.0,1000.0,303.0,0.26729811247014157,0.35399551904406273,0.08669740657392117,0.8548215926109528
99.0,1.0,1091.0,268.0,0.4063965525567493,0.5340873389883758,0.1276907864316265,1.025286202222616
99.0,1.0,649.0,129.0,0.5635642389431933,0.6838369499087407,0.12027271096554737,0.7221910656235948
99.0,1.0,958.0,129.0,0.8059464121679578,0.8764713327426908,0.07052492057473303,0.9958568998619401
95.0,5.0,390.0,396.0,0.047887934645645024,0.047322540473225407,-0.0005653941724196171,-0.0485234420183005
95.0,5.0,500.0,270.0,0.2505783936386698,0.27350901525658805,0.022930621617918256,0.21656664354791966
95.0,5.0,900.0,270.0,0.6610156933025771,0.7246175243393602,0.06360183103678307,0.6708597986359499
95.0,5.0,1091.0,268.0,0.7803130680559303,0.8467044119218032,0.06639134386587298,0.9491610077494179
95.0,5.0,649.0,129.0,0.8701192929020893,0.9124144473809039,0.0422951544788146,0.5925178345492075
95.0,5.0,900.0,129.0,0.9469945141520711,0.966127417740321,0.019132903588249817,0.8211165671924925
90.0,10.0,390.0,396.0,0.09592133234076955,0.11764705882352941,0.02172572648275986,-0.03543186467877879
90.0,10.0,500.0,270.0,0.41360099674703216,0.44129882135428705,0.027697824607254895,0.21082102334559227
90.0,10.0,900.0,270.0,0.804436193245391,0.8531836921667431,0.048747498921352106,0.6355625208406663
90.0,10.0,1091.0,268.0,0.8822511595726754,0.9191109491710694,0.03685978959839398,0.8571562476203298
90.0,10.0,649.0,129.0,0.9339150909227961,0.959775565038723,0.025860474115926846,0.5933872261174986
90.0,10.0,900.0,129.0,0.9741518727075865,0.9833956607109394,0.009243788003352904,0.793994995705714
85.0,15.0,390.0,396.0,0.14426539416640272,0.16515151515151516,0.020886120985112444,-0.048745637351760074
85.0,15.0,500.0,270.0,0.5284650853897053,0.5954456502401708,0.06698056485046555,0.18915139498766376
85.0,15.0,900.0,270.0,0.867304978628531,0.9015334523684487,0.034228473739917775,0.601701493735705
85.0,15.0,1091.0,268.0,0.9225139944618379,0.9395170390431054,0.017003044581267446,0.7144381702319733
85.0,15.0,649.0,129.0,0.9573657432640628,0.9724532868345578,0.015087543570495021,0.5439980560525519
85.0,15.0,900.0,129.0,0.9835753561237839,0.988178347891877,0.00460299176809309,0.7097920627099601
80.0,20.0,390.0,396.0,0.1927366086565275,0.2215523737754333,0.028815765118905795,-0.04465093125030739
80.0,20.0,500.0,270.0,0.6134799397165143,0.6694613821138211,0.055981442397306846,0.18497601510323358
80.0,20.0,900.0,270.0,0.9025001011429052,0.9157957855062532,0.013295684363347937,0.5155223113583252
80.0,20.0,1091.0,268.0,0.9440111495847244,0.9601270411157524,0.016115891531027993,0.7941413497751248
80.0,20.0,649.0,129.0,0.969513416830507,0.9790517926368255,0.009538375806318555,0.4767178930942757
80.0,20.0,900.0,129.0,0.988346094553296,0.9919615762471345,0.003615481693838518,0.6850605476930849
75.0,25.0,390.0,396.0,0.2414560479298463,0.28211586901763225,0.04065982108778596,-0.03831284866107021
75.0,25.0,500.0,270.0,0.6790862997026336,0.7319939347990903,0.052907635096456684,0.16975858614614658
75.0,25.0,900.0,270.0,0.9250432797968724,0.9327511402825676,0.007707860485695162,0.5177425482413682
75.0,25.0,1091.0,268.0,0.9574094025734888,0.9687731680555144,0.011363765482025556,0.7296731638451615
75.0,25.0,649.0,129.0,0.9769578824634072,0.9836169453570066,0.00665906289359941,0.4570687490400167
75.0,25.0,900.0,129.0,0.991233424154103,0.9937509476465873,0.0025175234924843526,0.6049926813601578
70.0,30.0,390.0,396.0,0.29050420179114683,0.3230846774193548,0.03258047562820798,-0.04127980307212198
70.0,30.0,500.0,270.0,0.7313244575050238,0.7640307465515426,0.03270628904651873,0.17032092030608315
70.0,30.0,900.0,270.0,0.9407385579700879,0.9548540393754243,0.014115481405336472,0.5456157075256041
70.0,30.0,1091.0,268.0,0.9665724011608324,0.9756723390864419,0.00909993792560948,0.7149914612297439
70.0,30.0,649.0,129.0,0.9819942897912068,0.9865481252415926,0.00455383545038579,0.451406479637426
70.0,30.0,900.0,129.0,0.9931713791498091,0.9949075752084089,0.0017361960585997593,0.5588391350377941
